district_real,recommended_crop,target_encoded,soil_ph,nitrogen,phosphorus,potassium,annual_rainfall_mm,avg_temperature_C,avg_humidity_pct,altitude_m,soil_ph_scaled,nitrogen_scaled,phosphorus_scaled,potassium_scaled,annual_rainfall_mm_scaled,avg_temperature_C_scaled,avg_humidity_pct_scaled,altitude_m_scaled
Nyamagabe,irish_potato,2,6.63,0.365,0.247,0.258,859.5,19.17,67.9,1518,1.0440033384213763,0.06609401812921681,1.8866044915336093,-0.48122383563123344,-0.23604038455788426,-1.0168747396847744,-0.786933183182981,0.08561709040360646
Ngororero,cassava,1,7.16,0.458,0.123,0.347,822.9,25.12,80.4,1590,1.92814629942109,0.600744372376605,0.028080159898499164,-0.05402727088070297,-0.4420233266297142,1.1293157214296272,0.6090968461712615,0.44487020078216843
Bugesera,cassava,1,5.54,0.274,0.137,0.724,1055.5,19.15,69.7,1133,-0.7743284115591659,-0.4570584790375821,0.23791355217988272,1.755558177556938,0.867037665881423,-1.0240888252683533,-0.5859048589559704,-1.835389124815093
Nyagatare,maize,3,5.25,0.508,0.076,0.797,720.9,22.83,83.0,1369,-1.2581047487099524,0.8881907993913297,-0.6763605141890021,2.105955359880407,-1.0160741487971088,0.30330292210996573,0.8994710922769432,-0.6578372630186955
Ngororero,maize,3,5.2,0.623,0.03,0.253,687.8,24.16,71.5,1450,-1.3415144620118118,1.5493175815251967,-1.3658130888278333,-0.5052236426396902,-1.2023592685396653,0.7830396134178915,-0.38487653472895983,-0.2536775138428132
Muhanga,cassava,1,5.79,0.232,0.061,0.02,846.4,23.51,74.3,1579,-0.35727984504986715,-0.698513477729951,-0.9011820059190557,-1.623614649233776,-0.30976651956173606,0.5485818319516128,-0.07216580815360982,0.38998430891877706
Musanze,cassava,1,6.08,0.335,0.081,0.369,892.6,19.85,69.5,1648,0.1264964921009194,-0.1063738380796179,-0.6014200169456508,0.05157187995650694,-0.04975526481532765,-0.7715958298431286,-0.6082413394256386,0.7342685396982322
Rulindo,irish_potato,2,6.07,0.59,0.124,0.64,1113.7,27.32,96.2,1800,0.1098145494405478,1.3596029396954783,0.04306825934716942,1.3523614198148644,1.1945843114710544,1.9228651356231874,2.373678803275024,1.492691772719641
Gasabo,irish_potato,2,5.54,0.431,0.109,0.618,1300.2,21.37,83.5,1459,-0.7743284115591659,0.4455233017886535,-0.18175323238288418,1.2467622689776545,2.2441968441594766,-0.22332532549121428,0.955312293451113,-0.20877087504549294
Gicumbi,rice,4,6.17,0.365,0.12,0.204,919.1,20.77,82.3,1873,0.2766339760442667,0.06609401812921681,-0.016884138447511597,-0.7404217513225667,0.09938538996345624,-0.43974789299854944,0.8212934106331053,1.8569345096312386
Nyarugenge,irish_potato,2,4.85,0.202,0.111,0.533,815.5,23.92,65.8,1500,-1.925382455124831,-0.8709813339387859,-0.15177703348554367,0.8387655498338894,-0.48367015098303484,0.6964705864149582,-1.0214662281144946,-0.004196187191034032
Burera,cassava,1,4.9,0.205,0.215,0.734,862.4,17.45,73.1,1755,-1.84197274182297,-0.8537345483179025,1.4069853091761613,1.8035577915738517,-0.21971933177077219,-1.6372860998724679,-0.2061846909716174,1.2681585787330396
Kamonyi,beans,0,6.76,0.215,0.083,0.316,1075.5,19.37,89.0,1756,1.2608685930062113,-0.7962452629149576,-0.5714438180483103,-0.20282607433313485,0.9795966506201278,-0.9447338838489965,1.5695655063669796,1.2731482052660752
Gicumbi,rice,4,6.73,0.837,0.072,0.287,615.5,22.75,69.7,1822,1.2108227650250967,2.7795882891482186,-0.7363129119836832,-0.34202495498218427,-1.609259998370083,0.27444657977565506,-0.5859048589559704,1.6024635564464238
Muhanga,cassava,1,5.56,0.551,0.184,0.591,849.5,26.2,75.9,1608,-0.7409645262384227,1.1353947266239932,0.9423542262673839,1.1171633111319876,-0.29231987692723665,1.518876342942829,0.10652603560373418,0.534683478376809
Gicumbi,cassava,1,6.02,0.435,0.024,0.02,1012.3,24.5,94.7,1748,0.026404836138686872,0.46851901594983153,-1.4557416855198546,-1.623614649233776,0.6239102588458203,0.9056790683387145,2.2061551997525144,1.2332311930017905
Nyagatare,rice,4,6.13,0.541,0.266,0.211,854.4,22.78,95.4,1182,0.20990620540277885,1.0779054412210483,2.1713783810583442,-0.7068220215107273,-0.2647429256662541,0.2852677081510222,2.2843328813963524,-1.5908974246963494
Nyagatare,rice,4,6.08,0.112,0.26,0.306,945.6,19.29,74.7,1318,0.1264964921009194,-1.3883849025652906,2.0814497843663227,-0.2508256883500484,0.24852604474224013,-0.9735902261833084,-0.027492847214273423,-0.9123082162035102
Nyamagabe,cassava,1,5.78,0.086,0.112,0.326,614.9,20.07,93.4,1425,-0.37396178771023875,-1.5378570446129476,-0.13678893403687342,-0.15482646031622127,-1.6126367679122444,-0.692240888423773,2.0609680766996736,-0.3784181771687028
Burera,cassava,1,6.23,0.473,0.173,0.413,954.5,26.08,60.0,1692,0.3767256320064992,0.6869783004810223,0.777485132332011,0.26277018163092647,0.29861479295096366,1.4755918294413617,-1.6692241617348629,0.953812107151798
Bugesera,maize,3,5.57,0.218,0.17,0.128,1050.0,21.65,77.8,1119,-0.7242825835780496,-0.778998477294074,0.7325208339860007,-1.1052188178511098,0.8360839450782792,-0.12232812732112565,0.31872260006557807,-1.9052438962775913
Nyarugenge,rice,4,5.3,0.309,0.154,0.342,1135.5,20.52,73.3,1387,-1.174695035408093,-0.25584598012727494,0.49271124280727663,-0.07802707788915951,1.3172736048362423,-0.5299239627932723,-0.18384821050194922,-0.568023985424055
Nyamagabe,rice,4,6.81,0.39,0.158,0.02,945.7,20.97,57.7,1561,1.3442783063080708,0.20981723163657934,0.5526636406019576,-1.623614649233776,0.2490888396659338,-0.3676070371627715,-1.9260936871360432,0.30017103132413653
Muhanga,rice,4,6.26,0.499,0.074,0.626,994.6,26.27,80.4,1656,0.426771459987614,0.8364504425286793,-0.7063367130863427,1.2851619601911852,0.5242955573520669,1.5441256424853516,0.6090968461712615,0.7741855519625169
Nyarugenge,cassava,1,5.34,0.02,0.133,0.389,884.3,19.25,79.5,1529,-1.1079672647666052,-1.917286328272384,0.17796115438520171,0.14757110799033413,-0.09646724348189054,-0.9880183973504637,0.5085826840577554,0.1405029822669979
Gicumbi,cassava,1,4.62,0.636,0.091,0.516,1373.3,18.16,68.3,1761,-2.3090671363133852,1.6240536525490252,-0.45153902245894856,0.7571662060051363,2.6555999333794422,-1.381186061655455,-0.7422602222436462,1.2980963379312531
Nyaruguru,rice,4,6.26,0.357,0.188,0.066,1029.4,20.94,64.8,1631,0.426771459987614,0.0201025898068608,1.0023066240620648,-1.4028164247559738,0.7201481907974138,-0.37842816553813735,-1.1331486304628342,0.6494448886366274
Nyarugenge,irish_potato,2,6.0,0.184,0.106,0.256,1088.9,22.68,65.9,1375,-0.006959049182056315,-0.9744620476640868,-0.22671753072889494,-0.4908237584346162,1.0550111703950606,0.24919728023313256,-1.0102979878796599,-0.627899503820482
Musanze,irish_potato,2,5.55,0.255,0.172,0.301,932.8,20.51,75.0,1833,-0.7576464688987943,-0.5662881213031776,0.7624970328833408,-0.27482549535850526,0.17648829450946865,-0.5335310055850604,0.006011873490228081,1.6573494483098152
Nyarugenge,maize,3,5.2,0.406,0.094,0.326,542.6,23.68,70.2,1484,-1.3415144620118118,0.30180008828129135,-0.40657472411293777,-0.15482646031622127,-2.019537497742662,0.6099015594120236,-0.5300636577818008,-0.08403021171960337
Kicukiro,maize,3,6.57,0.441,0.005,0.226,928.5,21.33,69.7,1400,0.9439116824591453,0.5030125871915986,-1.740515575044589,-0.6348226004853568,0.15228811279064738,-0.2377534966583709,-0.5859048589559704,-0.5031588404945924
Nyamasheke,cassava,1,6.26,0.521,0.124,0.336,656.2,20.73,76.0,1269,0.426771459987614,0.9629268704151583,0.04306825934716942,-0.10682684629930767,-1.3802024644268185,-0.4541760641657048,0.11769427583856748,-1.1567999163222538
Nyarugenge,cassava,1,6.04,0.318,0.046,0.436,830.6,24.49,83.1,1483,0.05976872145943154,-0.20410562326462442,-1.1260034976491093,0.3731692938698278,-0.3986881175053126,0.902072025546925,0.9106393325117765,-0.08901983825263894
Gicumbi,rice,4,6.43,0.371,0.097,0.02,991.0,20.49,66.8,1800,0.710364485213937,0.1005875893709838,-0.36161042576692703,-1.623614649233776,0.5040349400991,-0.5407450911686393,-0.9097838257661554,1.492691772719641
Bugesera,irish_potato,2,6.56,0.752,0.118,0.626,1022.1,24.18,87.1,1147,0.9272297397987721,2.290929363223187,-0.04686033734485211,1.2851619601911852,0.679064161367786,0.7902536990014691,1.3573689419051342,-1.765534353352595
Nyarugenge,irish_potato,2,6.24,0.423,0.134,0.067,906.6,19.84,78.5,1459,0.3934075746668708,0.39953187346629754,0.19294925383387196,-1.3980164633542824,0.029036024501765727,-0.775202872634918,0.396900281709416,-0.20877087504549294
Nyabihu,irish_potato,2,6.72,0.722,0.162,0.02,790.6,20.31,63.5,1359,1.1941408223647236,2.1184615070143518,0.6126160383966387,-1.623614649233776,-0.6238060869827222,-0.6056718614208396,-1.278335753515675,-0.7077335283490512
Kicukiro,rice,4,6.16,0.646,0.094,0.165,1028.4,18.25,65.0,1326,0.2599520333838951,1.6815429379519702,-0.40657472411293777,-0.9276202459885295,0.7145202415604784,-1.3487226765293547,-1.1108121499931658,-0.8723912039392255
Bugesera,cassava,1,5.84,0.093,0.018,0.238,899.3,21.84,59.2,1183,-0.27387013174800773,-1.4976145448308862,-1.545670282211876,-0.5772230636650606,-0.012048004927861919,-0.053794314277135886,-1.758570083613534,-1.5859077981633138
Karongi,maize,3,5.96,0.029,0.167,0.152,1093.4,18.33,76.1,1439,-0.07368681982354416,-1.8655459714097335,0.68755653563999,-0.9900197442105172,1.0803369419612692,-1.319866334195044,0.1288625160734008,-0.3085634057062046
